Plot Number,Plant Number,Genotype,Stem Diameter,Tap Root dimeter,Overall,Nodule Size,Nodule Density,Number Adv/Up Roots,Lateral Root Denisty Adv/Up,Angle 1 Adv/Up,Angle 2 Adv/Up,Angle 3 Adv/Up,Angle 4 Adv/Up,Angle 5 Adv/Up,Number Lower Roots,Lateral Root Denisty Lower,Angle 1 Lower,Angle 2 Lower,Angle 3 Lower,Angle 4 Lower,Angle 5 Lower
1001,1,11,10,8,2,3,3,5,11,0,20,40,50,30,30,21,10,0,0,20,0
1001,2,11,8,5,2,4,3,3,4,0,10,0,na,na,19,10,0,0,0,20,20
1001,3,11,10,9,2,3,3,2,7,0,0,na,na,na,34,9,30,30,20,10,30
1001,4,11,12,11,1,3,1,4,7,30,20,0,0,na,31,22,0,0,10,10,30
1001,5,11,16,15,2,3,2,0,na,na,na,na,na,na,32,24,0,10,0,0,30
1002,1,1,4,3,2,4,3,0,na,na,na,na,na,na,42,14,20,30,0,0,0
1002,2,1,4,2,1,2,1,0,na,na,na,na,na,na,24,8,0,0,0,0,15
1002,3,1,12,5,3,3,3,0,na,na,na,na,na,na,34,21,0,20,20,20,20
1002,4,1,10,9,3,3,1,0,na,na,na,na,na,na,35,16,20,20,10,0,0
1002,5,1,9,8,2,4,3,0,na,na,na,na,na,na,35,13,0,30,0,20,0
1003,1,17,15,12,4,4,3,6,14,0,0,30,0,0,32,22,40,0,10,30,30
1003,2,17,14,11,3,3,3,0,na,na,na,na,na,na,30,14,0,20,0,0,0
1003,3,17,18,15,3,4,3,9,13,0,20,5,0,0,16,22,30,20,10,0,0
1003,4,17,12,10,3,4,4,0,na,na,na,na,na,na,34,20,20,0,0,20,20
1003,5,17,15,10,4,3,3,0,na,na,na,na,na,na,32,0,0,20,0,10,0
1004,1,13,12,10,2,3,2,0,na,na,na,na,na,na,27,16,0,20,20,10,30
1004,2,13,13,10,3,4,3,1,15,30,na,na,na,na,23,18,20,20,0,20,20
1004,3,13,14,10,2,4,3,0,na,na,na,na,na,na,20,22,0,0,10,0,35
1004,4,13,15,10,3,4,3,0,na,na,na,na,na,na,23,13,0,0,20,20,0
1004,5,13,17,13,2,4,2,0,na,na,na,na,na,na,20,18,0,30,0,30,20
1005,1,21,15,12,2,4,3,0,na,na,na,na,na,na,24,18,0,20,0,25,0
1005,2,21,14,11,2,3,3,4,14,5,10,10,0,na,14,18,10,0,20,10,10
1005,3,21,17,12,1,3,1,0,na,na,na,na,na,na,11,19,20,10,20,20,10
1005,4,21,18,11,3,3,2,4,9,0,0,0,0,na,18,19,0,20,20,10,15
1005,5,21,14,10,2,4,3,1,3,10,na,na,na,na,13,16,0,30,35,70,0
1006,1,15,13,10,2,4,3,2,7,40,30,na,na,na,20,16,10,20,15,0,0
1006,2,15,15,13,3,4,4,1,4,10,na,na,na,na,32,12,20,20,20,15,10
1006,3,15,16,12,3,4,3,0,na,na,na,na,na,na,26,13,0,0,0,10,10
1006,4,15,15,10,2,4,3,2,3,0,0,na,na,na,19,10,10,20,0,0,5
1006,5,15,13,12,2,3,2,0,na,na,na,na,na,na,25,17,0,10,20,0,0
1007,1,3,10,8,2,3,2,0,na,na,na,na,na,na,22,12,0,0,5,20,10
1007,2,3,9,10,4,3,3,0,na,na,na,na,na,na,30,16,20,25,10,10,0
1007,3,3,13,11,2,4,2,4,11,0,0,10,5,na,19,10,0,0,5,10,15
1007,4,3,11,9,1,3,2,2,2,10,10,na,na,na,24,14,0,10,10,15,20
1007,5,3,8,10,1,3,1,0,na,na,na,na,na,na,16,14,5,10,5,0,5
1008,1,8,8,12,3,3,3,1,12,0,na,na,na,na,19,9,0,10,10,20,30
1008,2,8,8,6,3,3,4,0,na,na,na,na,na,na,24,16,10,10,15,15,5
1008,3,8,8,11,2,3,2,0,na,na,na,na,na,na,25,18,5,20,30,20,25
1008,4,8,9,7,2,3,2,1,20,0,na,na,na,na,14,18,5,0,20,20,20
1008,5,8,12,7,2,2,2,0,na,na,na,na,na,na,9,10,0,0,50,50,40
1009,1,5,7,5,2,2,1,0,na,na,na,na,na,na,10,16,30,0,5,50,40
1009,2,5,10,8,1,3,1,0,na,na,na,na,na,na,20,10,10,5,20,0,5
1009,3,5,10,10,2,4,1,2,14,0,0,na,na,na,15,12,0,5,5,15,40
1009,4,5,9,8,1,3,2,0,na,na,na,na,na,na,17,14,5,20,15,20,30
1009,5,5,8,10,1,3,2,0,na,na,na,na,na,na,13,12,10,20,15,20,20
1010,1,10,11,8,3,3,3,1,8,0,na,na,na,na,16,10,20,20,0,20,10
1010,2,10,10,9,3,3,3,0,na,na,na,na,na,na,22,14,15,0,10,10,20
1010,3,10,9,6,3,3,3,0,na,na,na,na,na,na,12,14,0,0,10,5,10
1010,4,10,8,6,3,3,4,1,9,10,na,na,na,na,14,16,10,10,20,10,30
1010,5,10,11,9,4,3,3,5,16,0,0,5,0,0,10,18,10,30,25,0,20
1011,1,24,9,4,1,4,4,2,8,30,20,na,na,na,9,10,45,65,50,50,40
1011,2,24,5,5,1,3,2,0,na,na,na,na,na,na,12,6,20,10,20,45,35
1011,3,24,6,10,1,3,2,3,10,10,15,10,na,na,10,12,50,50,30,30,50
1011,4,24,11,8,1,3,1,0,na,na,na,na,na,na,8,12,0,50,30,5,40
1011,5,24,6,5,1,2,1,0,na,na,na,na,na,na,7,12,20,0,20,60,50
1012,1,16,5,7,1,2,1,0,na,na,na,na,na,na,18,18,10,5,20,25,30
1012,2,16,11,9,3,3,4,1,8,0,na,na,na,na,13,10,50,30,20,60,60
1012,3,16,7,4,2,3,2,0,na,na,na,na,na,na,10,16,10,10,60,60,40
1012,4,16,10,6,3,4,4,2,10,0,0,na,na,na,17,20,50,50,20,20,20
1012,5,16,9,7,3,4,4,0,na,na,na,na,na,na,16,12,0,10,0,5,10
1013,1,20,9,5,2,2,2,5,16,0,5,10,0,5,10,12,20,30,40,35,40
1013,2,20,8,7,2,2,3,0,na,na,na,na,na,na,15,16,0,30,20,40,20
1013,3,20,10,7,3,2,2,0,na,na,na,na,na,na,22,16,30,30,0,20,20
1013,4,20,6,4,3,2,3,0,na,na,na,na,na,na,14,18,5,0,10,30,40
1013,5,20,9,7,3,3,3,0,na,na,na,na,na,na,19,18,0,40,40,30,30
1014,1,4,6,6,1,2,2,0,na,na,na,na,na,na,8,20,20,10,30,10,30
1014,2,4,9,5,3,3,4,0,na,na,na,na,na,na,17,20,0,0,40,40,20
1014,3,4,6,6,1,2,2,1,14,5,na,na,na,na,10,12,10,20,30,30,25
1014,4,4,13,9,2,3,1,0,na,na,na,na,na,na,10,18,20,0,30,20,25
1014,5,4,10,8,2,2,3,6,17,0,5,10,5,0,8,10,0,10,20,5,20
1015,1,18,9,4,1,3,1,1,4,50,na,na,na,na,6,10,25,30,50,55,40
1015,2,18,10,8,2,4,3,2,8,30,30,na,na,na,11,14,30,40,30,30,35
1015,3,18,9,5,1,2,1,1,5,30,na,na,na,na,8,6,30,30,40,50,40
1015,4,18,9,5,2,2,2,2,16,20,20,na,na,na,19,14,10,20,40,20,45
1015,5,18,6,5,3,2,2,0,na,na,na,na,na,na,15,12,25,30,35,40,40
1016,1,6,7,4,3,2,1,0,0,na,na,na,na,na,29,10,5,0,5,10,15
1016,2,6,4,4,1,1,1,1,4,0,na,na,na,na,21,12,0,0,40,20,15
1016,3,6,4,5,1,1,1,3,6,0,5,5,na,na,15,7,0,0,5,5,5
1016,4,6,6,7,2,2,2,0,na,na,na,na,na,na,22,7,20,5,5,30,30
1016,5,6,7,7,3,3,3,0,na,na,na,na,na,na,27,14,0,5,5,30,20
1017,1,12,6,6,1,3,1,0,na,na,na,na,na,na,6,7,0,30,25,20,25
1017,2,12,6,5,1,2,1,0,na,na,na,na,na,na,10,6,0,5,20,25,25
1017,3,12,11,7,2,3,2,0,na,na,na,na,na,na,11,8,20,20,25,15,10
1017,4,12,5,3,1,1,1,0,na,na,na,na,na,na,3,6,5,10,30,na,na
1017,5,12,8,4,1,2,1,0,na,na,na,na,na,na,11,8,20,0,25,35,20
1018,1,14,9,7,1,2,1,0,na,na,na,na,na,na,14,15,30,25,0,20,20
1018,2,14,13,10,1,0,0,3,8,0,5,0,na,na,7,12,50,50,50,45,30
1018,3,14,12,10,1,3,1,3,16,0,5,0,na,na,17,16,0,5,25,15,40
1018,4,14,8,5,1,1,1,3,10,20,20,20,na,na,11,13,20,35,30,20,10
1018,5,14,9,1,2,2,2,0,na,na,na,na,na,na,17,12,0,20,0,25,30
1019,1,19,10,8,3,3,3,0,na,na,na,na,na,na,26,14,30,20,10,15,30
1019,2,19,5,3,3,3,2,0,na,na,na,na,na,na,9,10,10,5,20,30,35
1019,3,19,8,6,3,3,4,0,na,na,na,na,na,na,16,10,15,5,30,35,20
1019,4,19,6,5,1,2,1,0,na,na,na,na,na,na,12,8,0,5,20,5,10
1019,5,19,9,5,3,3,3,0,na,na,na,na,na,na,29,10,20,20,30,30,30
1020,1,23,5,3,3,3,4,0,na,na,na,na,na,na,14,10,10,20,30,20,10
1020,2,23,6,3,3,4,2,0,na,na,na,na,na,na,14,14,0,10,30,35,40
1020,3,23,9,6,3,3,2,0,na,na,na,na,na,na,27,20,20,25,10,30,35
1020,4,23,9,6,4,3,3,0,na,na,na,na,na,na,32,22,20,25,40,45,40
1020,5,23,10,5,4,3,3,3,12,20,5,0,na,na,27,16,50,40,45,20,10
1021,1,22,11,10,3,3,4,0,na,na,na,na,na,na,28,19,0,0,10,0,10
1021,2,22,10,9,2,3,1,0,na,na,na,na,na,na,32,15,10,30,20,0,0
1021,3,22,12,10,3,3,2,0,na,na,na,na,na,na,30,20,0,0,10,0,30
1021,4,22,11,8,3,3,3,1,15,10,na,na,na,na,22,18,10,10,0,30,20
1021,5,22,10,7,3,2,3,0,na,na,na,na,na,na,22,14,5,10,0,10,20
1022,1,7,13,10,3,3,2,0,na,na,na,na,na,na,26,20,20,20,0,0,20
1022,2,7,12,10,3,4,3,0,na,na,na,na,na,na,31,17,0,0,20,20,0
1022,3,7,11,8,3,3,2,0,na,na,na,na,na,na,18,17,0,0,10,0,20
1022,4,7,12,5,3,3,1,0,na,na,na,na,na,na,21,18,0,10,0,20,20
1022,5,7,13,5,4,3,4,0,na,na,na,na,na,na,31,18,20,0,10,10,10
1023,1,9,10,5,4,3,4,0,na,na,na,na,na,na,26,29,0,0,10,10,20
1023,2,9,8,5,3,3,4,5,15,0,10,10,20,20,16,18,0,10,40,0,0
1023,3,9,11,4,4,3,4,2,15,10,20,na,na,na,23,19,30,0,10,40,60
1023,4,9,10,8,3,3,4,0,na,na,na,na,na,na,27,14,0,0,0,20,10
1023,5,9,10,7,3,3,4,0,na,na,na,na,na,na,23,22,0,0,20,10,0
1024,1,2,20,15,2,3,1,6,16,40,40,60,70,20,18,13,0,0,0,10,5
1024,2,2,14,10,2,3,2,10,15,0,10,10,0,10,16,16,40,0,10,10,0
