"Features","Camera","Mean","SD","Min","Max"
"Median Number of Roots","L1",10.39,4.02,3.6,23
"Maximum Number of Roots","L1",45.4,10.8,26.4,75
"Total Root Length","L1",7515.5,2575.96,2957.47,14923.71
"Depth","L1",179.82,16.9,121.93,211.26
"Maximum Width","L1",181.21,28.48,124.6,260.07
"Width-to-Depth Ratio","L1",1.02,0.17,0.67,1.43
"Network Area","L1",4905.45,1343.33,2174.73,8972.97
"Convex Area","L1",21193.44,4719.16,10854.3,33837.64
"Solidity","L1",0.23,0.03,0.16,0.3
"Perimeter","L1",6353.96,2242.66,2511.75,12357.1
"Average Radius","L1",0.81,0.17,0.47,1.22
"Volume","L1",50877.91,21019.98,12016.72,133693.11
"Surface Area","L1",36272.79,10356.04,13239.99,73852.08
"Maximum Radius","L1",8.94,1.59,5.25,12.76
"Lower Root Area","L1",3792.76,1097.33,1684.86,6775.04
"Shallow Angle Frequency","L1",0.86,0.04,0.76,0.95
"Medium Angle Frequency","L1",1.06,0.03,0.99,1.13
"Steep Angle Frequency","L1",0.34,0.02,0.27,0.38
"Shallowness Index","L1",2.61,0.25,2.01,3.61
"Fine Radius Frequency","L1",1.47,0.04,1.37,1.58
"Medium Radius Frequency","L1",0.34,0.07,0.22,0.53
"Coarse Radius Frequency","L1",0.12,0.04,0.06,0.27
"Fineness Index","L1",15.02,4.14,6.25,26.68
"Holes","L1",1724.49,1580.72,243.8,6293
"Computation","L1",51.83,31.95,9.2,165.61
"Median Number of Roots","R1",9.01,3.2,3.8,18.2
"Maximum Number of Roots","R1",41.43,9.19,23.6,73.4
"Total Root Length","R1",6676.71,2083.08,2707.65,13298.44
"Depth","R1",181.89,15.38,120.99,205.79
"Maximum Width","R1",182.57,30.54,115.13,255.97
"Width-to-Depth Ratio","R1",1.02,0.17,0.61,1.39
"Network Area","R1",4943.7,1350.2,2254.1,8840.38
"Convex Area","R1",21389.97,4771.83,11255.34,35728.73
"Solidity","R1",0.23,0.03,0.16,0.3
"Perimeter","R1",5736.14,1913.23,2403.31,11321.33
"Average Radius","R1",0.88,0.15,0.58,1.26
"Volume","R1",50332.14,20221.63,13019.86,126831.49
"Surface Area","R1",35580.34,9986.99,14721.76,68325.78
"Maximum Radius","R1",9.02,1.6,5.16,12.95
"Lower Root Area","R1",3796.14,1115.24,1559.52,6813.46
"Shallow Angle Frequency","R1",0.88,0.04,0.79,0.99
"Medium Angle Frequency","R1",1.05,0.03,0.93,1.11
"Steep Angle Frequency","R1",0.33,0.02,0.3,0.38
"Shallowness Index","R1",2.68,0.25,2.08,3.33
"Fine Radius Frequency","R1",1.48,0.04,1.36,1.57
"Medium Radius Frequency","R1",0.34,0.07,0.23,0.56
"Coarse Radius Frequency","R1",0.12,0.04,0.06,0.28
"Fineness Index","R1",15.05,4.58,5.3,29.09
"Holes","R1",1098.62,822.05,168.2,4706
"Computation","R1",41.9,23.88,9.2,131.35
"Median Number of Roots","L2",8.23,3.38,3,17
"Maximum Number of Roots","L2",37.72,10.25,18.4,61.6
"Total Root Length","L2",6560.52,2339.48,2572.64,14264.24
"Depth","L2",197.08,20.69,137.73,239.29
"Maximum Width","L2",184.44,30.75,120.5,258.72
"Width-to-Depth Ratio","L2",0.95,0.17,0.58,1.38
"Network Area","L2",5160.56,1436.98,2259.19,10082.9
"Convex Area","L2",23516.8,5466.52,12127.01,36857.2
"Solidity","L2",0.22,0.03,0.16,0.34
"Perimeter","L2",5595.44,2158.75,2125.76,11967.6
"Average Radius","L2",0.98,0.19,0.6,1.4
"Volume","L2",60799.05,24730.24,14496.06,149463.43
"Surface Area","L2",38109.54,11237.05,13825.34,81279.79
"Maximum Radius","L2",9.69,1.69,5.76,13.93
"Lower Root Area","L2",3889.63,1145.53,1674.85,7778.24
"Shallow Angle Frequency","L2",0.88,0.04,0.78,1.01
"Medium Angle Frequency","L2",1.05,0.04,0.93,1.11
"Steep Angle Frequency","L2",0.34,0.02,0.28,0.39
"Shallowness Index","L2",2.66,0.29,2.04,3.73
"Fine Radius Frequency","L2",1.47,0.04,1.36,1.57
"Medium Radius Frequency","L2",0.35,0.07,0.21,0.52
"Coarse Radius Frequency","L2",0.13,0.04,0.04,0.26
"Fineness Index","L2",14.73,8.23,7.29,81.43
"Holes","L2",870.91,566.57,204.8,2581.4
"Computation","L2",31.27,19.87,5.94,112.19
"Median Number of Roots","C",8.69,3.49,2.4,18.7
"Maximum Number of Roots","C",37.08,9.1,20.4,60.8
